VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_NORMAL0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
0, 0, -17.62119,  4.60956,  3.85709, 1022, 1022, 511, 0,  0.78857,  0.46436,  0.52686,  0.7373
1, 1, -17.41303,  4.71932,  3.85709, 2, 1022, 511, 0,  0.79932,  0.46997,  0.52881,  0.73828
2, 2, -18.79844,  4.71932,  3.85709, 2, 1022, 511, 0,  0.729,  0.46997,  0.51465,  0.73828
3, 0, -17.62119,  4.60956,  3.85709, 1022, 1022, 511, 0,  0.78857,  0.46436,  0.52686,  0.7373
4, 2, -18.79844,  4.71932,  3.85709, 2, 1022, 511, 0,  0.729,  0.46997,  0.51465,  0.73828
5, 3, -17.74768,  4.33496,  3.85709, 2, 1022, 511, 0,  0.78271,  0.4502,  0.52539,  0.73438
6, 2, -18.79844,  4.71932,  3.85709, 2, 1022, 511, 0,  0.729,  0.46997,  0.51465,  0.73828
7, 4, -17.74785,  2.35254,  3.85709, 2, 2, 511, 0,  0.78418,  0.34766,  0.52539,  0.71436
8, 3, -17.74768,  4.33496,  3.85709, 2, 1022, 511, 0,  0.78271,  0.4502,  0.52539,  0.73438
9, 2, -18.79844,  4.71932,  3.85709, 2, 1022, 511, 0,  0.729,  0.46997,  0.51465,  0.73828
10, 5, -18.79844,  2.35254,  3.85709, 1022, 2, 511, 0,  0.73047,  0.34766,  0.51465,  0.71436
11, 4, -17.74785,  2.35254,  3.85709, 2, 2, 511, 0,  0.78418,  0.34766,  0.52539,  0.71436
12, 6, -15.54695,  4.71932,  3.85709, 2, 1022, 511, 0,  0.87012,  0.46997,  0.54785,  0.73828
13, 7, -16.76414,  4.6096,  3.85709, 2, 1022, 511, 0,  0.80811,  0.46436,  0.53516,  0.7373
14, 8, -16.63765,  4.33496,  3.85709, 1022, 1022, 511, 0,  0.81494,  0.4502,  0.53662,  0.73438
15, 6, -15.54695,  4.71932,  3.85709, 2, 1022, 511, 0,  0.87012,  0.46997,  0.54785,  0.73828
16, 9, -16.9723,  4.71932,  3.85709, 2, 1022, 511, 0,  0.79736,  0.46997,  0.5332,  0.73828
17, 7, -16.76414,  4.6096,  3.85709, 2, 1022, 511, 0,  0.80811,  0.46436,  0.53516,  0.7373
18, 10, -15.54695,  2.35254,  3.85709, 2, 2, 511, 0,  0.87158,  0.34741,  0.54785,  0.71436
19, 6, -15.54695,  4.71932,  3.85709, 2, 1022, 511, 0,  0.87012,  0.46997,  0.54785,  0.73828
20, 8, -16.63765,  4.33496,  3.85709, 1022, 1022, 511, 0,  0.81494,  0.4502,  0.53662,  0.73438
21, 8, -16.63765,  4.33496,  3.85709, 1022, 1022, 511, 0,  0.81494,  0.4502,  0.53662,  0.73438
22, 11, -16.63752,  2.3525,  3.85709, 1022, 2, 511, 0,  0.81641,  0.34766,  0.53662,  0.71436
23, 10, -15.54695,  2.35254,  3.85709, 2, 2, 511, 0,  0.87158,  0.34741,  0.54785,  0.71436
24, 12, -18.79844,  4.71932,  3.85709, 2, 1022, 511, 0,  0.86816,  0.34497,  0.51465,  0.73828
25, 13, -17.41303,  4.71932,  3.85709, 2, 1022, 511, 0,  0.79199,  0.34497,  0.52881,  0.73828
26, 14, -18.79844,  7.41854,  3.85709, 2, 2, 511, 0,  0.86816,  0.48828,  0.51465,  0.76563
27, 13, -17.41303,  4.71932,  3.85709, 2, 1022, 511, 0,  0.79199,  0.34497,  0.52881,  0.73828
28, 15, -15.54695,  7.41854,  3.85709, 1022, 1022, 511, 0,  0.68994,  0.48828,  0.54785,  0.76563
29, 14, -18.79844,  7.41854,  3.85709, 2, 2, 511, 0,  0.86816,  0.48828,  0.51465,  0.76563
30, 13, -17.41303,  4.71932,  3.85709, 2, 1022, 511, 0,  0.79199,  0.34497,  0.52881,  0.73828
31, 16, -16.9723,  4.71932,  3.85709, 2, 1022, 511, 0,  0.76807,  0.34497,  0.5332,  0.73828
32, 15, -15.54695,  7.41854,  3.85709, 1022, 1022, 511, 0,  0.68994,  0.48828,  0.54785,  0.76563
33, 15, -15.54695,  7.41854,  3.85709, 1022, 1022, 511, 0,  0.68994,  0.48828,  0.54785,  0.76563
34, 16, -16.9723,  4.71932,  3.85709, 2, 1022, 511, 0,  0.76807,  0.34497,  0.5332,  0.73828
35, 17, -15.54695,  4.71932,  3.85709, 2, 1022, 511, 0,  0.68994,  0.34497,  0.54785,  0.73828
36, 18, -17.74785,  2.35254,  3.85709, 2, 2, 511, 0,  0.2793,  0.0722,  0.52539,  0.71436
37, 19, -18.79844,  1.24286,  3.85709, 2, 2, 511, 0,  0.33252,  0.00111,  0.51465,  0.70313
38, 20, -15.54695,  1.24286,  3.85709, 2, 1022, 511, 0,  0.16772,  0.00111,  0.54785,  0.70313
39, 20, -15.54695,  1.24286,  3.85709, 2, 1022, 511, 0,  0.16772,  0.00111,  0.54785,  0.70313
