Untagged,Stats,RenderingThread,EngineInit,SceneRender,Materials,RHIMisc,LoadMapMisc,Meshes/StaticMesh,Shaders,RenderTargets,Meshes,PSO,Audio/AudioMisc,Audio/AudioMixer,GC,Audio,Textures,EnginePreInit,UI,UObject,TextureMetaData,MaterialInstance,Meshes/SkeletalMesh,Particles,FileSystem,AsyncLoading,Networking,TaskGraphMiscTasks,Physics/ChaosAcceleration,Physics,Physics/PhysXAllocator,Localization,FName,ConfigSystem,InitUObject,AssetRegistry,CsvProfiler,Animation,Physics/Chaos,Physics/PhysX,NavigationRecast,EngineMisc,ProgramSize,GenericPlatformMallocCrash,FMallocUnused,TrackedTotal,Total,Untracked,StreamingManager,Meshes/Landscape,Niagara,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
1.86,13.37,0.00,0.39,0.38,0.07,0.40,0.17,0.33,5.36,73.86,1.92,0.04,0.02,9.88,0.07,9.90,12.15,1.63,1.22,25.91,0.02,0.02,0.48,0.35,1.88,0.03,0.00,0.00,0.01,1.38,0.37,3.59,1.88,1.55,2.32,0.39,0.00,0.12,0.75,0.25,0.07,0.06,61.73,3.61,5.09,233.03,59.60,-173.11,0.01,0.00,
1.99,13.55,0.00,0.39,0.37,0.07,0.40,0.17,0.33,5.36,73.86,1.93,0.04,0.02,9.88,0.07,9.90,12.15,1.63,1.22,25.91,0.02,0.02,0.49,0.35,1.88,0.03,0.00,0.00,0.01,1.38,0.37,3.59,1.88,1.55,2.32,0.39,0.00,0.12,0.75,0.25,0.07,0.06,61.73,3.61,4.90,232.84,59.60,-173.18,0.01,0.00,
1.99,13.58,0.00,0.39,0.77,0.12,0.42,0.40,0.88,10.97,79.99,2.39,0.05,0.02,9.88,0.07,9.90,15.43,1.64,1.21,11.16,0.09,0.02,0.43,0.35,2.58,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.40,0.39,0.00,0.12,0.75,0.25,0.07,0.08,61.73,3.61,6.14,236.50,294.66,58.03,0.03,0.00,0.00,
1.99,13.27,0.00,0.39,0.78,0.12,0.42,0.40,0.88,10.97,79.99,2.39,0.05,0.02,9.88,0.07,9.90,16.43,1.64,1.21,11.16,0.09,0.02,0.43,0.35,3.14,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.40,0.39,0.00,0.12,0.75,0.25,0.07,0.08,61.73,3.61,6.09,237.82,294.66,56.77,0.03,0.00,0.00,
1.99,13.58,0.00,0.39,0.79,0.12,0.42,0.40,0.87,10.97,79.99,2.44,0.05,0.02,9.88,0.07,9.90,18.11,1.64,1.21,11.16,0.09,0.02,0.43,0.35,2.64,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.40,0.39,0.00,0.12,0.75,0.25,0.07,0.08,61.73,3.61,6.14,239.38,340.80,101.49,0.03,0.00,0.00,
1.99,14.21,0.00,0.39,1.26,0.12,0.42,0.40,0.68,10.98,79.99,2.25,0.06,0.02,9.88,0.07,9.90,18.23,1.64,1.22,11.16,0.09,0.02,0.44,0.35,2.64,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.40,0.39,0.00,0.12,0.75,0.25,0.07,0.08,61.73,3.61,6.14,240.44,340.80,100.36,0.03,0.00,0.00,
1.99,13.20,0.00,0.39,1.26,0.12,0.42,0.40,0.68,10.98,79.99,2.24,0.06,0.02,9.88,0.07,9.90,18.33,1.64,1.22,11.16,0.09,0.02,0.43,0.35,1.64,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.40,0.39,0.00,0.12,0.75,0.25,0.07,0.08,61.73,3.61,6.17,238.54,358.15,119.73,0.03,0.00,0.00,
1.99,13.58,0.00,0.39,1.26,0.12,0.42,0.40,0.68,10.98,79.99,2.23,0.06,0.02,9.88,0.07,9.90,18.36,1.64,1.22,11.16,0.09,0.02,0.42,0.35,1.27,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.40,0.39,0.00,0.12,0.75,0.25,0.07,0.08,61.73,3.61,6.11,238.58,358.15,119.51,0.03,0.00,0.00,
1.99,13.39,0.00,0.39,1.26,0.12,0.42,0.40,0.68,10.98,79.99,2.23,0.06,0.02,9.88,0.07,9.90,18.36,1.64,1.22,11.16,0.09,0.02,0.42,0.35,1.27,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.40,0.39,0.00,0.12,0.75,0.25,0.07,0.08,61.73,3.61,6.11,238.39,355.92,117.33,0.03,0.00,0.00,
1.99,12.89,0.00,0.39,1.26,0.12,0.42,0.40,0.68,10.98,79.99,2.23,0.06,0.02,9.88,0.07,9.90,18.40,1.64,1.22,11.16,0.09,0.02,0.42,0.35,1.33,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.40,0.39,0.00,0.12,0.75,0.25,0.07,0.08,61.73,3.61,6.24,238.05,355.92,118.05,0.03,0.00,0.00,
1.99,13.58,0.00,0.39,1.25,0.12,0.42,0.40,0.68,10.98,79.99,2.23,0.06,0.02,9.88,0.07,9.90,18.49,1.64,1.22,11.16,0.09,0.02,0.42,0.35,1.52,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.40,0.39,0.00,0.12,0.75,0.25,0.07,0.08,61.73,3.61,6.12,238.96,356.98,118.09,0.03,0.00,0.00,
1.99,13.08,0.00,0.39,1.24,0.12,0.42,0.40,0.68,10.98,79.99,2.24,0.06,0.02,9.88,0.07,9.90,18.62,1.64,1.22,11.16,0.09,0.02,0.43,0.35,1.39,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.40,0.39,0.00,0.12,0.75,0.25,0.07,0.08,61.73,3.61,6.06,238.41,356.98,118.39,0.03,0.00,0.00,
1.99,13.77,0.00,0.39,1.38,0.12,0.42,0.40,0.49,10.98,79.99,2.11,0.06,0.02,9.88,0.07,9.90,19.35,1.64,1.22,11.15,0.09,0.02,0.48,0.35,1.77,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.40,0.39,0.00,0.06,0.75,0.25,0.07,0.08,61.73,3.61,6.17,240.20,358.11,117.64,0.03,0.00,0.00,
