Untagged,Stats,RenderingThread,EngineInit,SceneRender,Materials,RHIMisc,LoadMapMisc,Meshes/StaticMesh,Shaders,RenderTargets,Meshes,PSO,Audio/AudioMisc,Audio/AudioMixer,GC,Audio,Textures,EnginePreInit,UI,UObject,TextureMetaData,MaterialInstance,Meshes/SkeletalMesh,Particles,FileSystem,AsyncLoading,Networking,TaskGraphMiscTasks,Physics/ChaosAcceleration,Physics,Physics/PhysXAllocator,Localization,FName,ConfigSystem,InitUObject,AssetRegistry,CsvProfiler,Animation,Physics/Chaos,Physics/PhysX,NavigationRecast,EngineMisc,ProgramSize,GenericPlatformMallocCrash,FMallocUnused,TrackedTotal,Total,Untracked,StreamingManager,Meshes/Landscape,Niagara,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
1.86,13.60,0.00,0.39,0.37,0.11,0.40,0.17,0.33,20.00,73.86,1.99,0.04,0.02,9.88,0.07,9.90,12.15,1.65,1.22,25.91,0.02,0.02,0.48,0.35,2.02,0.03,0.00,0.00,0.01,1.38,0.37,3.59,1.88,1.55,2.32,0.39,0.00,0.12,0.75,0.25,0.07,0.06,62.74,3.61,4.99,248.84,63.65,-185.19,0.01,0.00,
1.99,13.35,0.00,0.39,0.37,0.11,0.40,0.17,0.33,20.00,73.86,1.98,0.04,0.02,9.88,0.07,9.90,12.15,1.65,1.22,25.91,0.02,0.02,0.48,0.35,2.02,0.03,0.00,0.00,0.01,1.38,0.37,3.59,1.88,1.55,2.32,0.39,0.00,0.12,0.75,0.25,0.07,0.06,62.74,3.61,4.86,248.59,63.65,-184.92,0.01,0.00,
1.99,13.57,0.00,0.40,1.09,0.16,0.42,0.40,0.82,49.72,79.99,2.33,0.05,0.02,9.88,0.07,9.90,17.43,1.71,1.21,11.45,0.09,0.02,0.43,0.35,1.66,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.74,3.61,6.33,278.27,341.64,63.38,0.03,0.00,0.00,
1.99,14.69,0.00,0.40,1.25,0.16,0.42,0.40,0.80,49.72,79.99,2.37,0.05,0.02,9.88,0.07,9.90,22.43,1.71,1.22,11.45,0.09,0.02,0.43,0.35,3.16,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.74,3.61,6.21,286.00,341.64,55.70,0.03,0.00,0.00,
1.99,14.32,0.00,0.40,2.33,0.16,0.42,0.40,0.63,49.76,79.99,2.27,0.13,0.02,9.88,0.07,9.90,22.43,1.71,1.24,11.45,0.09,0.02,0.50,0.35,3.16,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.74,3.61,5.81,286.40,406.74,120.21,0.03,0.00,0.00,
1.99,13.82,0.00,0.40,2.39,0.16,0.42,0.40,0.63,49.76,79.99,2.27,0.13,0.02,9.88,0.07,9.90,22.57,1.71,1.24,11.45,0.09,0.02,0.50,0.35,2.22,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.74,3.61,6.07,285.43,406.74,121.44,0.03,0.00,0.00,
1.99,13.82,0.00,0.40,2.32,0.16,0.42,0.40,0.63,49.76,79.99,2.27,0.13,0.02,9.88,0.07,9.90,22.74,1.71,1.24,11.46,0.09,0.02,0.50,0.35,1.29,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.74,3.61,6.03,284.49,431.60,147.11,0.03,0.00,0.00,
1.99,13.50,0.00,0.40,2.32,0.16,0.42,0.40,0.63,49.76,79.99,2.26,0.13,0.02,9.88,0.07,9.90,27.27,1.71,1.24,11.46,0.09,0.02,0.49,0.35,2.79,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.74,3.61,5.87,290.10,431.60,141.50,0.03,0.00,0.00,
1.99,12.88,0.00,0.40,2.31,0.16,0.42,0.40,0.63,49.76,79.99,2.26,0.13,0.02,9.88,0.07,9.90,28.45,1.71,1.24,11.46,0.09,0.02,0.49,0.35,1.79,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.74,3.61,5.95,289.73,437.51,147.77,0.03,0.00,0.00,
1.99,13.32,0.00,0.40,2.59,0.16,0.42,0.40,0.63,49.76,79.99,2.26,0.13,0.02,9.88,0.07,9.90,28.62,1.71,1.24,11.46,0.09,0.02,0.49,0.35,1.16,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.74,3.61,5.92,289.96,437.51,147.51,0.03,0.00,0.00,
1.99,13.00,0.00,0.40,2.30,0.16,0.42,0.40,0.63,49.76,79.99,2.26,0.13,0.02,9.88,0.07,9.90,28.70,1.71,1.24,11.46,0.09,0.02,0.49,0.35,1.22,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.74,3.61,5.96,289.54,437.03,147.43,0.03,0.00,0.00,
1.99,12.57,0.00,0.40,2.29,0.16,0.42,0.40,0.63,49.76,79.99,2.26,0.13,0.02,9.88,0.07,9.90,28.96,1.71,1.24,11.46,0.09,0.02,0.48,0.35,1.22,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.74,3.61,6.21,289.67,437.03,147.65,0.03,0.00,0.00,
1.99,13.44,0.00,0.40,2.23,0.16,0.42,0.40,0.51,49.76,79.99,2.15,0.13,0.02,9.88,0.08,9.90,29.33,1.71,1.24,11.45,0.09,0.02,0.50,0.35,1.47,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.74,3.61,6.13,290.80,435.13,144.34,0.03,0.00,0.00,
1.99,13.88,0.00,0.40,2.45,0.16,0.42,0.40,0.50,49.76,79.99,2.13,0.15,0.02,9.88,0.08,9.90,31.68,1.71,1.24,11.45,0.09,0.02,0.49,0.35,2.10,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.74,3.61,6.25,294.53,435.13,140.66,0.03,0.00,0.00,
1.99,13.63,0.00,0.40,2.44,0.16,0.42,0.40,0.50,49.76,79.99,2.13,0.15,0.02,9.88,0.08,9.90,31.68,1.71,1.24,11.45,0.09,0.02,0.49,0.35,2.10,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.74,3.61,6.13,294.22,442.41,148.26,0.03,0.00,0.00,
