Untagged,Stats,RenderingThread,EngineInit,SceneRender,Materials,RHIMisc,LoadMapMisc,Meshes/StaticMesh,Shaders,RenderTargets,Meshes,PSO,Audio/AudioMisc,Audio/AudioMixer,GC,Audio,Textures,EnginePreInit,UI,UObject,TextureMetaData,MaterialInstance,Meshes/SkeletalMesh,Particles,FileSystem,AsyncLoading,Networking,TaskGraphMiscTasks,Physics/ChaosAcceleration,Physics,Physics/PhysXAllocator,Localization,FName,ConfigSystem,InitUObject,AssetRegistry,CsvProfiler,Animation,Physics/Chaos,Physics/PhysX,NavigationRecast,EngineMisc,ProgramSize,GenericPlatformMallocCrash,FMallocUnused,TrackedTotal,Total,Untracked,StreamingManager,Meshes/Landscape,Niagara,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
1.72,12.98,0.00,0.39,0.37,0.09,0.41,0.17,0.33,9.10,73.86,1.93,0.04,0.02,9.88,0.07,9.90,12.14,1.64,1.22,25.91,0.02,0.02,0.48,0.35,1.82,0.03,0.00,0.00,0.01,1.38,0.37,3.59,1.88,1.55,2.32,0.39,0.00,0.12,0.75,0.25,0.07,0.06,62.31,3.61,4.92,236.30,61.75,-174.52,0.01,0.00,
1.98,12.67,0.00,0.39,0.64,0.09,0.41,0.17,0.33,9.10,73.86,1.94,0.04,0.02,9.88,0.07,9.90,12.14,1.64,1.22,25.91,0.02,0.02,0.49,0.35,1.82,0.03,0.00,0.00,0.01,1.38,0.37,3.59,1.88,1.55,2.32,0.39,0.00,0.12,0.75,0.25,0.07,0.06,62.31,3.61,4.83,236.50,61.75,-174.84,0.01,0.00,
1.98,13.01,0.00,0.40,1.04,0.13,0.42,0.41,0.89,20.83,79.99,2.39,0.05,0.02,9.88,0.07,9.90,17.42,1.66,1.21,11.45,0.09,0.02,0.42,0.35,1.89,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.31,3.61,6.01,248.29,322.65,74.36,0.03,0.00,0.00,
1.98,13.20,0.00,0.40,1.05,0.13,0.42,0.41,0.89,20.83,79.99,2.38,0.05,0.02,9.88,0.07,9.90,18.42,1.66,1.21,11.45,0.09,0.02,0.42,0.35,2.77,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.31,3.61,5.99,250.35,322.65,72.30,0.03,0.00,0.00,
1.98,13.32,0.00,0.40,1.06,0.13,0.42,0.41,0.89,20.83,79.99,2.39,0.05,0.02,9.88,0.07,9.90,18.42,1.66,1.21,11.46,0.09,0.02,0.43,0.35,2.77,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.31,3.61,6.18,250.92,349.05,98.21,0.03,0.00,0.00,
1.98,13.26,0.00,0.40,1.06,0.13,0.42,0.41,0.89,20.83,79.99,2.38,0.05,0.02,9.88,0.07,9.90,18.42,1.66,1.21,11.46,0.09,0.02,0.42,0.35,2.77,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.31,3.61,6.05,250.47,349.05,98.63,0.03,0.00,0.00,
1.98,13.70,0.00,0.40,1.06,0.13,0.42,0.41,0.89,20.83,79.99,2.38,0.05,0.02,9.88,0.07,9.90,19.09,1.66,1.21,11.46,0.09,0.02,0.42,0.35,3.02,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.31,3.61,6.12,251.91,349.42,97.32,0.03,0.00,0.00,
1.98,12.95,0.00,0.40,1.07,0.13,0.42,0.41,0.89,20.83,79.99,2.38,0.05,0.02,9.88,0.07,9.90,21.09,1.66,1.21,11.46,0.09,0.02,0.42,0.35,3.21,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.31,3.61,6.06,253.29,349.42,96.13,0.03,0.00,0.00,
1.98,12.82,0.00,0.40,1.10,0.13,0.42,0.41,0.88,20.83,79.99,2.37,0.05,0.02,9.88,0.07,9.90,21.09,1.66,1.21,11.46,0.09,0.02,0.42,0.35,3.21,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.31,3.61,5.98,253.11,353.68,100.57,0.03,0.00,0.00,
1.98,13.26,0.00,0.40,1.11,0.13,0.42,0.41,0.88,20.83,79.99,2.42,0.05,0.02,9.88,0.07,9.90,21.09,1.66,1.21,11.46,0.09,0.02,0.41,0.35,3.21,0.08,0.00,0.00,0.01,1.47,0.46,3.59,1.88,1.55,2.41,0.39,0.00,0.12,0.75,0.25,0.07,0.08,62.31,3.61,6.10,253.66,353.68,100.08,0.03,0.00,0.00,
